,Population,Magnitude,Depth,Distance_from_the_epicenter,Secondary effects,Architechture,destructiveness,City
1010,Populated ,39,589,5360,No,Good,Low,Buford
1011,Unpopulated,53,567,8058,No,Good,Low,Buford
1012,Populated ,32,574,37,No,Good,Low,Buford
1013,Unpopulated,42,84,3774,No,Bad,Low,Buford
1014,Populated ,31,698,5842,No,Good,Low,Buford
1015,Unpopulated,57,689,8692,No,Bad,Low,Buford
1016,Populated,49,608,4827,No,Good,Low,Philadelphia
1017,Unpopulated,38,512,7858,No,Bad,Low,Buford
1018,Populated,67,18,23,Yes,Bad,Low,Philadelphia
1019,Populated ,30,499,5267,No,Good ,Low,Buford
1020,Unpopulated,30,410,6614,yes,Bad,Low,Buford
1021,Populated ,57,699,7789,No,Good,Low,Buford
1022,Populated ,44,345,9475,No,Good,Low,Buford
1023,Unpopulated,33,637,3895,No,Good,Low,Buford
1024,Populated ,35,332,6512,No,Good,Low,Buford
1025,Unpopulated,33,60,7218,No,Bad,Low,Buford
1026,Populated ,50,107,9856,No,Good,Low,Buford
1027,Unpopulated,73,359,1346,No,Bad,High,Buford
1028,Populated,63,516,751,No,Good,Low,Philadelphia
1029,Unpopulated,36,443,7647,No,Bad,Low,Buford
1030,Populated,67,594,9833,No,Bad,Low,Philadelphia
1031,Populated ,45,620,7898,Yes,Good ,Low,Buford
1032,Unpopulated,33,10,5897,No,Bad,Low,Buford
1033,Populated ,52,38,5437,yes,Good,Low,Buford
1034,Populated ,43,310,1038,No,Good,Low,Buford
1035,Unpopulated,42,526,3572,No,Good,Low,Buford
1036,Populated ,79,195,3859,No,Good,High,Buford
1037,Unpopulated,54,34,8049,No,Bad,Low,Buford
1038,Populated ,69,90,8772,No,Good,High,Buford
1039,Unpopulated,39,60,3385,No,Bad,Low,Buford
1040,Populated,41,552,9992,No,Good,Low,Philadelphia
1041,Unpopulated,58,567,1891,No,Bad,Low,Buford
1042,Populated,80,87,508,No,Bad,High,Philadelphia
1043,Populated ,69,580,280,No,Good ,High,Buford
1044,Unpopulated,38,580,6810,Yes,Bad,Low,Buford
1045,Populated ,51,223,559,No,Good,Low,Buford
1046,Populated ,64,415,9551,yes,Good,Low,Buford
1047,Unpopulated,30,148,7248,No,Good,Low,Buford
1048,Populated ,36,429,5972,No,Good,Low,Buford
1049,Unpopulated,56,64,9202,No,Bad,Low,Buford
1050,Populated ,55,30,3894,No,Good,Low,Buford
1051,Unpopulated,60,432,2793,No,Bad,Low,Buford
1052,Populated,77,205,4113,No,Good,High,Philadelphia
1053,Unpopulated,41,486,7861,No,Bad,Low,Buford
1054,Populated,66,117,4364,No,Bad,Low,Philadelphia
1055,Populated ,58,631,5966,No,Good ,Low,Buford
1056,Unpopulated,60,607,5097,No,Bad,Low,Buford
1057,Populated ,54,456,5161,Yes,Good,Low,Buford
1058,Populated ,49,420,6938,No,Good,Low,Buford
1059,Unpopulated,38,188,8417,yes,Good,Low,Buford
1060,Populated ,60,679,9374,No,Good,Low,Buford
1061,Unpopulated,38,159,737,No,Bad,Low,Buford
1062,Populated ,77,311,4343,No,Good,High,Buford
1063,Unpopulated,63,43,8312,No,Bad,Low,Buford
1064,Populated,55,661,7247,No,Good,Low,Philadelphia
1065,Unpopulated,65,348,1437,No,Bad,Low,Buford
1066,Populated,64,414,4090,No,Bad,Low,Philadelphia
1067,Populated ,33,334,6227,No,Good ,Low,Buford
1068,Unpopulated,75,259,3924,No,Bad,High,Buford
1069,Populated ,51,426,7409,No,Good,Low,Buford
1070,Populated ,34,316,3769,Yes,Good,Low,Buford
1071,Unpopulated,31,175,1688,No,Good,Low,Buford
1072,Populated ,53,184,1993,yes,Good,Low,Buford
1073,Unpopulated,51,641,1414,No,Bad,Low,Buford
1074,Populated ,40,11,4643,No,Good,Low,Buford
1075,Unpopulated,78,600,2409,No,Bad,High,Buford
1076,Populated,62,51,8729,No,Good,Low,Philadelphia
1077,Unpopulated,30,187,8174,No,Bad,Low,Buford
1078,Populated,75,342,3712,No,Bad,High,Philadelphia
1079,Populated ,80,43,693,No,Good ,High,Buford
1080,Unpopulated,30,567,6485,No,Bad,Low,Buford
1081,Populated ,33,400,9471,No,Good,Low,Buford
1082,Populated ,66,425,258,No,Good,Low,Buford
1083,Unpopulated,50,430,7878,Yes,Good,Low,Buford
1084,Populated ,54,355,6290,No,Good,Low,Buford
1085,Unpopulated,36,44,291,yes,Bad,Low,Buford
1086,Populated ,37,484,6271,No,Good,Low,Buford
1087,Unpopulated,65,286,8617,No,Bad,Low,Buford
1088,Populated,65,519,8192,No,Good,Low,Philadelphia
1089,Unpopulated,35,664,38,No,Bad,Low,Buford
1090,Populated,67,488,10,No,Bad,Low,Philadelphia
1091,Populated ,57,639,4535,No,Good ,Low,Buford
1092,Unpopulated,56,521,1780,No,Bad,Low,Buford
1093,Populated ,30,532,1284,No,Good,Low,Buford
1094,Populated ,56,678,5472,No,Good,Low,Buford
1095,Unpopulated,80,680,8662,No,Good,High,Buford
1096,Populated ,75,115,3812,Yes,Good,High,Buford
1097,Unpopulated,76,265,3652,No,Bad,High,Buford
1098,Populated ,53,153,4951,yes,Good,Low,Buford
1099,Unpopulated,69,364,6825,No,Bad,High,Buford
1100,Populated,41,494,2745,No,Good,Low,Philadelphia
1101,Unpopulated,53,354,7427,No,Bad,Low,Buford
1102,Populated,79,177,4568,No,Bad,High,Philadelphia
1103,Populated ,57,452,3814,No,Good ,Low,Buford
1104,Unpopulated,69,14,7930,No,Bad,High,Buford
1105,Populated ,31,513,9296,No,Good,Low,Buford
1106,Populated ,47,637,8700,No,Good,Low,Buford
1107,Unpopulated,43,52,5758,No,Good,Low,Buford
1108,Populated ,72,686,6182,No,Good,High,Buford
1109,Unpopulated,74,377,5324,Yes,Bad,High,Buford
1110,Populated ,41,62,9997,No,Good,Low,Buford
1111,Unpopulated,68,536,3685,yes,Bad,Low,Buford
1112,Populated,48,198,6681,No,Good,Low,Philadelphia
1113,Unpopulated,37,244,7702,No,Bad,Low,Buford
1114,Populated,36,271,1027,No,Bad,Low,Philadelphia
1115,Populated ,49,225,3615,No,Good ,Low,Buford
1116,Unpopulated,47,476,8085,No,Bad,Low,Buford
1117,Populated ,38,241,9918,No,Good,Low,Buford
1118,Populated ,75,315,2719,No,Good,High,Buford
1119,Unpopulated,60,255,8848,No,Good,Low,Buford
1120,Populated ,63,596,1703,No,Good,Low,Buford
1121,Unpopulated,71,254,9947,No,Bad,High,Buford
1122,Populated ,64,174,4919,Yes,Good,Low,Buford
1123,Unpopulated,73,547,6754,No,Bad,High,Buford
1124,Populated,46,524,3896,yes,Good,Low,Philadelphia
1125,Unpopulated,63,164,631,No,Bad,Low,Buford
1126,Populated,43,175,3645,No,Bad,Low,Philadelphia
1127,Populated ,51,149,5179,No,Good ,Low,Buford
1128,Unpopulated,63,227,2516,No,Bad,Low,Buford
1129,Populated ,69,63,6807,No,Good,High,Buford
1130,Populated ,46,675,8178,No,Good,Low,Buford
1131,Unpopulated,70,194,2932,No,Good,High,Buford
1132,Populated ,62,520,8144,No,Good,Low,Buford
1133,Unpopulated,68,494,2588,No,Bad,Low,Buford
1134,Populated ,42,134,739,No,Good,Low,Buford
1135,Unpopulated,31,411,6902,Yes,Bad,Low,Buford
1136,Populated,80,674,8501,No,Good,High,Philadelphia
1137,Unpopulated,59,143,5416,yes,Bad,Low,Buford
1138,Populated,33,698,4598,No,Bad,Low,Philadelphia
1139,Populated ,80,152,8178,No,Good ,High,Buford
1140,Unpopulated,32,145,8296,No,Bad,Low,Buford
1141,Populated ,31,465,5759,No,Good,Low,Buford
1142,Populated ,68,16,1085,No,Good,Low,Buford
1143,Unpopulated,75,543,4713,No,Good,High,Buford
1144,Populated ,44,528,5697,No,Good,Low,Buford
1145,Unpopulated,73,608,1601,No,Bad,High,Buford
1146,Populated ,42,269,545,No,Good,Low,Buford
1147,Unpopulated,50,697,2428,No,Bad,Low,Buford
1148,Populated,48,63,1878,Yes,Good,Low,Philadelphia
1149,Unpopulated,36,450,779,No,Bad,Low,Buford
1150,Populated,59,521,7121,yes,Bad,Low,Philadelphia
1151,Populated ,80,691,4146,No,Good ,High,Buford
1152,Unpopulated,38,352,5413,No,Bad,Low,Buford
1153,Populated ,76,306,7996,No,Good,High,Buford
1154,Populated ,33,636,6516,No,Good,Low,Buford
1155,Unpopulated,31,552,2662,No,Good,Low,Buford
1156,Populated ,54,611,4707,No,Good,Low,Buford
1157,Unpopulated,43,224,8138,No,Bad,Low,Buford
1158,Populated ,36,389,4622,No,Good,Low,Buford
1159,Unpopulated,64,671,9158,No,Bad,Low,Buford
1160,Populated,34,36,1859,No,Good,Low,Philadelphia
1161,Unpopulated,35,325,6901,Yes,Bad,Low,Buford
1162,Populated,55,485,667,No,Bad,Low,Philadelphia
1163,Populated ,77,627,5985,yes,Good ,High,Buford
1164,Unpopulated,41,579,9072,No,Bad,Low,Buford
1165,Populated ,74,506,1158,No,Good,High,Buford
1166,Populated ,48,557,828,No,Good,Low,Buford
1167,Unpopulated,69,185,5532,No,Good,High,Buford
1168,Populated ,49,333,6343,No,Good,Low,Buford
1169,Unpopulated,34,147,9613,No,Bad,Low,Buford
1170,Populated ,42,680,2945,No,Good,Low,Buford
1171,Unpopulated,71,72,4847,No,Bad,High,Buford
1172,Populated,36,71,1037,No,Good,Low,Philadelphia
1173,Unpopulated,54,338,900,No,Bad,Low,Buford
1174,Populated,80,90,2282,Yes,Bad,High,Philadelphia
1175,Populated ,46,358,340,No,Good ,Low,Buford
1176,Unpopulated,36,371,7270,yes,Bad,Low,Buford
1177,Populated ,65,236,8885,No,Good,Low,Buford
1178,Populated ,68,263,8442,No,Good,Low,Buford
1179,Unpopulated,57,61,2372,No,Good,Low,Buford
1180,Populated ,57,674,3302,No,Good,Low,Buford
1181,Unpopulated,49,559,8583,No,Bad,Low,Buford
1182,Populated ,64,260,7887,No,Good,Low,Buford
1183,Unpopulated,44,315,8349,No,Bad,Low,Buford
1184,Populated,78,267,9813,No,Good,High,Philadelphia
1185,Unpopulated,58,57,1342,No,Bad,Low,Buford
1186,Populated,79,520,6497,No,Bad,High,Philadelphia
1187,Populated ,73,577,9347,Yes,Good ,High,Buford
1188,Unpopulated,33,484,7781,No,Bad,Low,Buford
1189,Populated ,40,174,7715,yes,Good,Low,Buford
1190,Populated ,61,8,6409,No,Good,Low,Buford
1191,Unpopulated,41,600,5072,No,Good,Low,Buford
1192,Populated ,53,60,3393,No,Good,Low,Buford
1193,Unpopulated,44,548,6087,No,Bad,Low,Buford
1194,Populated ,70,427,3681,No,Good ,High,Buford
1195,Unpopulated,31,515,5233,No,Bad,Low,Buford
1196,Populated ,58,565,2099,No,Good,Low,Buford
1197,Populated ,68,340,8626,No,Good,Low,Buford
1198,Unpopulated,67,210,6387,No,Good,Low,Buford
1199,Populated ,35,284,2126,No,Good,Low,Buford
1200,Unpopulated,75,98,211,No,Bad,High,Buford
1201,Populated ,64,237,9295,No,Good,Low,Buford
1202,Unpopulated,37,218,9194,No,Bad,Low,Buford
1203,Populated,70,650,6063,No,Good,High,Philadelphia
1204,Unpopulated,58,198,615,Yes,Bad,Low,Buford
1205,Populated,80,171,7722,No,Bad,High,Philadelphia
1206,Populated ,36,324,6365,yes,Good ,Low,Buford
1207,Unpopulated,80,387,2526,No,Bad,High,Buford
1208,Populated ,62,662,7849,No,Good,Low,Buford
1209,Populated ,39,589,5360,No,Good,Low,Buford
1210,Unpopulated,53,567,8058,No,Good,Low,Buford
1211,Populated ,32,574,37,No,Good,Low,Buford
1212,Unpopulated,42,84,3774,No,Bad,Low,Buford
1213,Populated ,31,698,5842,No,Good,Low,Buford
1214,Unpopulated,57,689,8692,No,Bad,Low,Buford
1215,Populated,49,608,4827,No,Good,Low,Philadelphia
1216,Unpopulated,38,512,7858,No,Bad,Low,Buford
1217,Populated,67,18,23,Yes,Bad,Low,Philadelphia
1218,Populated ,30,499,5267,No,Good ,Low,Buford
1219,Unpopulated,30,410,6614,yes,Bad,Low,Buford
1220,Populated ,57,699,7789,No,Good,Low,Buford
1221,Populated ,44,345,9475,No,Good,Low,Buford
1222,Unpopulated,33,637,3895,No,Good,Low,Buford
1223,Populated ,35,332,6512,No,Good,Low,Buford
1224,Unpopulated,33,60,7218,No,Bad,Low,Buford
1225,Populated ,50,107,9856,No,Good,Low,Buford
1226,Unpopulated,73,359,1346,No,Bad,High,Buford
1227,Populated,63,516,751,No,Good,Low,Philadelphia
1228,Unpopulated,36,443,7647,No,Bad,Low,Buford
1229,Populated,67,594,9833,No,Bad,Low,Philadelphia
1230,Populated ,45,620,7898,Yes,Good ,Low,Buford
1231,Unpopulated,33,10,5897,No,Bad,Low,Buford
1232,Populated ,52,38,5437,yes,Good,Low,Buford
1233,Populated ,43,310,1038,No,Good,Low,Buford
1234,Unpopulated,42,526,3572,No,Good,Low,Buford
1235,Populated ,79,195,3859,No,Good,High,Buford
1236,Unpopulated,54,34,8049,No,Bad,Low,Buford
1237,Populated ,69,90,8772,No,Good,High,Buford
1238,Unpopulated,39,60,3385,No,Bad,Low,Buford
1239,Populated,41,552,9992,No,Good,Low,Philadelphia
1240,Unpopulated,58,567,1891,No,Bad,Low,Buford
1241,Populated,80,87,508,No,Bad,High,Philadelphia
1242,Populated ,69,580,280,No,Good ,High,Buford
1243,Unpopulated,38,580,6810,Yes,Bad,Low,Buford
1244,Populated ,51,223,559,No,Good,Low,Buford
1245,Populated ,64,415,9551,yes,Good,Low,Buford
1246,Unpopulated,30,148,7248,No,Good,Low,Buford
1247,Populated ,36,429,5972,No,Good,Low,Buford
1248,Unpopulated,56,64,9202,No,Bad,Low,Buford
1249,Populated ,55,30,3894,No,Good,Low,Buford
1250,Unpopulated,60,432,2793,No,Bad,Low,Buford
1251,Populated,77,205,4113,No,Good,High,Philadelphia
1252,Unpopulated,41,486,7861,No,Bad,Low,Buford
1253,Populated,66,117,4364,No,Bad,Low,Philadelphia
1254,Populated ,58,631,5966,No,Good ,Low,Buford
1255,Unpopulated,60,607,5097,No,Bad,Low,Buford
1256,Populated ,54,456,5161,Yes,Good,Low,Buford
1257,Populated ,49,420,6938,No,Good,Low,Buford
1258,Unpopulated,38,188,8417,yes,Good,Low,Buford
1259,Populated ,60,679,9374,No,Good,Low,Buford
1260,Unpopulated,38,159,737,No,Bad,Low,Buford
1261,Populated ,77,311,4343,No,Good,High,Buford
1262,Unpopulated,63,43,8312,No,Bad,Low,Buford
1263,Populated,55,661,7247,No,Good,Low,Philadelphia
1264,Unpopulated,65,348,1437,No,Bad,Low,Buford
1265,Populated,64,414,4090,No,Bad,Low,Philadelphia
1266,Populated ,33,334,6227,No,Good ,Low,Buford
1267,Unpopulated,75,259,3924,No,Bad,High,Buford
1268,Populated ,51,426,7409,No,Good,Low,Buford
1269,Populated ,34,316,3769,Yes,Good,Low,Buford
1270,Unpopulated,31,175,1688,No,Good,Low,Buford
1271,Populated ,53,184,1993,yes,Good,Low,Buford
1272,Unpopulated,51,641,1414,No,Bad,Low,Buford
1273,Populated ,40,11,4643,No,Good,Low,Buford
1274,Unpopulated,78,600,2409,No,Bad,High,Buford
1275,Populated,62,51,8729,No,Good,Low,Philadelphia
1276,Unpopulated,30,187,8174,No,Bad,Low,Buford
1277,Populated,75,342,3712,No,Bad,High,Philadelphia
1278,Populated ,80,43,693,No,Good ,High,Buford
1279,Unpopulated,30,567,6485,No,Bad,Low,Buford
1280,Populated ,33,400,9471,No,Good,Low,Buford
1281,Populated ,66,425,258,No,Good,Low,Buford
1282,Unpopulated,50,430,7878,Yes,Good,Low,Buford
1283,Populated ,54,355,6290,No,Good,Low,Buford
1284,Unpopulated,36,44,291,yes,Bad,Low,Buford
1285,Populated ,37,484,6271,No,Good,Low,Buford
1286,Unpopulated,65,286,8617,No,Bad,Low,Buford
1287,Populated,65,519,8192,No,Good,Low,Philadelphia
1288,Unpopulated,35,664,38,No,Bad,Low,Buford
1289,Populated,67,488,10,No,Bad,Low,Philadelphia
1290,Populated ,57,639,4535,No,Good ,Low,Buford
1291,Unpopulated,56,521,1780,No,Bad,Low,Buford
1292,Populated ,30,532,1284,No,Good,Low,Buford
1293,Populated ,56,678,5472,No,Good,Low,Buford
1294,Unpopulated,80,680,8662,No,Good,High,Buford
1295,Populated ,75,115,3812,Yes,Good,High,Buford
1296,Unpopulated,76,265,3652,No,Bad,High,Buford
1297,Populated ,53,153,4951,yes,Good,Low,Buford
1298,Unpopulated,69,364,6825,No,Bad,High,Buford
1299,Populated,41,494,2745,No,Good,Low,Philadelphia
1300,Unpopulated,53,354,7427,No,Bad,Low,Buford
1301,Populated,79,177,4568,No,Bad,High,Philadelphia
1302,Populated ,57,452,3814,No,Good ,Low,Buford
1303,Unpopulated,69,14,7930,No,Bad,High,Buford
1304,Populated ,31,513,9296,No,Good,Low,Buford
1305,Populated ,47,637,8700,No,Good,Low,Buford
1306,Unpopulated,43,52,5758,No,Good,Low,Buford
1307,Populated ,72,686,6182,No,Good,High,Buford
1308,Unpopulated,74,377,5324,Yes,Bad,High,Buford
1309,Populated ,41,62,9997,No,Good,Low,Buford
1310,Unpopulated,68,536,3685,yes,Bad,Low,Buford
1311,Populated,48,198,6681,No,Good,Low,Philadelphia
1312,Unpopulated,37,244,7702,No,Bad,Low,Buford
1313,Populated,36,271,1027,No,Bad,Low,Philadelphia
1314,Populated ,49,225,3615,No,Good ,Low,Buford
1315,Unpopulated,47,476,8085,No,Bad,Low,Buford
1316,Populated ,38,241,9918,No,Good,Low,Buford
1317,Populated ,75,315,2719,No,Good,High,Buford
1318,Unpopulated,60,255,8848,No,Good,Low,Buford
1319,Populated ,63,596,1703,No,Good,Low,Buford
1320,Unpopulated,71,254,9947,No,Bad,High,Buford
1321,Populated ,64,174,4919,Yes,Good,Low,Buford
1322,Unpopulated,73,547,6754,No,Bad,High,Buford
1323,Populated,46,524,3896,yes,Good,Low,Philadelphia
1324,Unpopulated,63,164,631,No,Bad,Low,Buford
1325,Populated,43,175,3645,No,Bad,Low,Philadelphia
1326,Populated ,51,149,5179,No,Good ,Low,Buford
1327,Unpopulated,63,227,2516,No,Bad,Low,Buford
1328,Populated ,69,63,6807,No,Good,High,Buford
1329,Populated ,46,675,8178,No,Good,Low,Buford
1330,Unpopulated,70,194,2932,No,Good,High,Buford
1331,Populated ,62,520,8144,No,Good,Low,Buford
1332,Unpopulated,68,494,2588,No,Bad,Low,Buford
1333,Populated ,42,134,739,No,Good,Low,Buford
1334,Unpopulated,31,411,6902,Yes,Bad,Low,Buford
1335,Populated,80,674,8501,No,Good,High,Philadelphia
1336,Unpopulated,59,143,5416,yes,Bad,Low,Buford
1337,Populated,33,698,4598,No,Bad,Low,Philadelphia
1338,Populated ,80,152,8178,No,Good ,High,Buford
1339,Unpopulated,32,145,8296,No,Bad,Low,Buford
1340,Populated ,31,465,5759,No,Good,Low,Buford
1341,Populated ,68,16,1085,No,Good,Low,Buford
1342,Unpopulated,75,543,4713,No,Good,High,Buford
1343,Populated ,44,528,5697,No,Good,Low,Buford
1344,Unpopulated,73,608,1601,No,Bad,High,Buford
1345,Populated ,42,269,545,No,Good,Low,Buford
1346,Unpopulated,50,697,2428,No,Bad,Low,Buford
1347,Populated,48,63,1878,Yes,Good,Low,Philadelphia
1348,Unpopulated,36,450,779,No,Bad,Low,Buford
1349,Populated,59,521,7121,yes,Bad,Low,Philadelphia
1350,Populated ,80,691,4146,No,Good ,High,Buford
1351,Unpopulated,38,352,5413,No,Bad,Low,Buford
1352,Populated ,76,306,7996,No,Good,High,Buford
1353,Populated ,33,636,6516,No,Good,Low,Buford
1354,Unpopulated,31,552,2662,No,Good,Low,Buford
1355,Populated ,54,611,4707,No,Good,Low,Buford
1356,Unpopulated,43,224,8138,No,Bad,Low,Buford
1357,Populated ,36,389,4622,No,Good,Low,Buford
1358,Unpopulated,64,671,9158,No,Bad,Low,Buford
1359,Populated,34,36,1859,No,Good,Low,Philadelphia
1360,Unpopulated,35,325,6901,Yes,Bad,Low,Buford
1361,Populated,55,485,667,No,Bad,Low,Philadelphia
1362,Populated ,77,627,5985,yes,Good ,High,Buford
1363,Unpopulated,41,579,9072,No,Bad,Low,Buford
1364,Populated ,74,506,1158,No,Good,High,Buford
1365,Populated ,48,557,828,No,Good,Low,Buford
1366,Unpopulated,69,185,5532,No,Good,High,Buford
1367,Populated ,49,333,6343,No,Good,Low,Buford
1368,Unpopulated,34,147,9613,No,Bad,Low,Buford
1369,Populated ,42,680,2945,No,Good,Low,Buford
1370,Unpopulated,71,72,4847,No,Bad,High,Buford
1371,Populated,36,71,1037,No,Good,Low,Philadelphia
1372,Unpopulated,54,338,900,No,Bad,Low,Buford
1373,Populated,80,90,2282,Yes,Bad,High,Philadelphia
1374,Populated ,46,358,340,No,Good ,Low,Buford
1375,Unpopulated,36,371,7270,yes,Bad,Low,Buford
1376,Populated ,65,236,8885,No,Good,Low,Buford
1377,Populated ,68,263,8442,No,Good,Low,Buford
1378,Unpopulated,57,61,2372,No,Good,Low,Buford
1379,Populated ,57,674,3302,No,Good,Low,Buford
1380,Unpopulated,49,559,8583,No,Bad,Low,Buford
1381,Populated ,64,260,7887,No,Good,Low,Buford
1382,Unpopulated,44,315,8349,No,Bad,Low,Buford
1383,Populated,78,267,9813,No,Good,High,Philadelphia
1384,Unpopulated,58,57,1342,No,Bad,Low,Buford
1385,Populated,79,520,6497,No,Bad,High,Philadelphia
1386,Populated ,73,577,9347,Yes,Good ,High,Buford
1387,Unpopulated,33,484,7781,No,Bad,Low,Buford
1388,Populated ,40,174,7715,yes,Good,Low,Buford
1389,Populated ,61,8,6409,No,Good,Low,Buford
1390,Unpopulated,41,600,5072,No,Good,Low,Buford
1391,Populated ,53,60,3393,No,Good,Low,Buford
1392,Unpopulated,44,548,6087,No,Bad,Low,Buford
1393,Populated ,70,427,3681,No,Good ,High,Buford
1394,Unpopulated,31,515,5233,No,Bad,Low,Buford
1395,Populated ,58,565,2099,No,Good,Low,Buford
1396,Populated ,68,340,8626,No,Good,Low,Buford
1397,Unpopulated,67,210,6387,No,Good,Low,Buford
1398,Populated ,35,284,2126,No,Good,Low,Buford
1399,Unpopulated,75,98,211,No,Bad,High,Buford
1400,Populated ,64,237,9295,No,Good,Low,Buford
1401,Unpopulated,37,218,9194,No,Bad,Low,Buford
1402,Populated,70,650,6063,No,Good,High,Philadelphia
1403,Unpopulated,58,198,615,Yes,Bad,Low,Buford
1404,Populated,80,171,7722,No,Bad,High,Philadelphia
1405,Populated ,36,324,6365,yes,Good ,Low,Buford
1406,Unpopulated,80,387,2526,No,Bad,High,Buford
1407,Populated ,62,662,7849,No,Good,Low,Buford
1408,Populated ,39,589,5360,No,Good,Low,Buford
1409,Unpopulated,53,567,8058,No,Good,Low,Buford
1410,Populated ,32,574,37,No,Good,Low,Buford
1411,Unpopulated,42,84,3774,No,Bad,Low,Buford
1412,Populated ,31,698,5842,No,Good,Low,Buford
1413,Unpopulated,57,689,8692,No,Bad,Low,Buford
1414,Populated,49,608,4827,No,Good,Low,Philadelphia
1415,Unpopulated,38,512,7858,No,Bad,Low,Buford
1416,Populated,67,18,23,Yes,Bad,Low,Philadelphia
1417,Populated ,30,499,5267,No,Good ,Low,Buford
1418,Unpopulated,30,410,6614,yes,Bad,Low,Buford
1419,Populated ,57,699,7789,No,Good,Low,Buford
1420,Populated ,44,345,9475,No,Good,Low,Buford
1421,Unpopulated,33,637,3895,No,Good,Low,Buford
1422,Populated ,35,332,6512,No,Good,Low,Buford
1423,Unpopulated,33,60,7218,No,Bad,Low,Buford
1424,Populated ,50,107,9856,No,Good,Low,Buford
1425,Unpopulated,73,359,1346,No,Bad,High,Buford
1426,Populated,63,516,751,No,Good,Low,Philadelphia
1427,Unpopulated,36,443,7647,No,Bad,Low,Buford
1428,Populated,67,594,9833,No,Bad,Low,Philadelphia
1429,Populated ,45,620,7898,Yes,Good ,Low,Buford
1430,Unpopulated,33,10,5897,No,Bad,Low,Buford
1431,Populated ,52,38,5437,yes,Good,Low,Buford
1432,Populated ,43,310,1038,No,Good,Low,Buford
1433,Unpopulated,42,526,3572,No,Good,Low,Buford
1434,Populated ,79,195,3859,No,Good,High,Buford
1435,Unpopulated,54,34,8049,No,Bad,Low,Buford
1436,Populated ,69,90,8772,No,Good,High,Buford
1437,Unpopulated,39,60,3385,No,Bad,Low,Buford
1438,Populated,41,552,9992,No,Good,Low,Philadelphia
1439,Unpopulated,58,567,1891,No,Bad,Low,Buford
1440,Populated,80,87,508,No,Bad,High,Philadelphia
1441,Populated ,69,580,280,No,Good ,High,Buford
1442,Unpopulated,38,580,6810,Yes,Bad,Low,Buford
1443,Populated ,51,223,559,No,Good,Low,Buford
1444,Populated ,64,415,9551,yes,Good,Low,Buford
1445,Unpopulated,30,148,7248,No,Good,Low,Buford
1446,Populated ,36,429,5972,No,Good,Low,Buford
1447,Unpopulated,56,64,9202,No,Bad,Low,Buford
1448,Populated ,55,30,3894,No,Good,Low,Buford
1449,Unpopulated,60,432,2793,No,Bad,Low,Buford
1450,Populated,77,205,4113,No,Good,High,Philadelphia
1451,Unpopulated,41,486,7861,No,Bad,Low,Buford
1452,Populated,66,117,4364,No,Bad,Low,Philadelphia
1453,Populated ,58,631,5966,No,Good ,Low,Buford
1454,Unpopulated,60,607,5097,No,Bad,Low,Buford
1455,Populated ,54,456,5161,Yes,Good,Low,Buford
1456,Populated ,49,420,6938,No,Good,Low,Buford
1457,Unpopulated,38,188,8417,yes,Good,Low,Buford
1458,Populated ,60,679,9374,No,Good,Low,Buford
1459,Unpopulated,38,159,737,No,Bad,Low,Buford
1460,Populated ,77,311,4343,No,Good,High,Buford
1461,Unpopulated,63,43,8312,No,Bad,Low,Buford
1462,Populated,55,661,7247,No,Good,Low,Philadelphia
1463,Unpopulated,65,348,1437,No,Bad,Low,Buford
1464,Populated,64,414,4090,No,Bad,Low,Philadelphia
1465,Populated ,33,334,6227,No,Good ,Low,Buford
1466,Unpopulated,75,259,3924,No,Bad,High,Buford
1467,Populated ,51,426,7409,No,Good,Low,Buford
1468,Populated ,34,316,3769,Yes,Good,Low,Buford
1469,Unpopulated,31,175,1688,No,Good,Low,Buford
1470,Populated ,53,184,1993,yes,Good,Low,Buford
1471,Unpopulated,51,641,1414,No,Bad,Low,Buford
1472,Populated ,40,11,4643,No,Good,Low,Buford
1473,Unpopulated,78,600,2409,No,Bad,High,Buford
1474,Populated,62,51,8729,No,Good,Low,Philadelphia
1475,Unpopulated,30,187,8174,No,Bad,Low,Buford
1476,Populated,75,342,3712,No,Bad,High,Philadelphia
1477,Populated ,80,43,693,No,Good ,High,Buford
1478,Unpopulated,30,567,6485,No,Bad,Low,Buford
1479,Populated ,33,400,9471,No,Good,Low,Buford
1480,Populated ,66,425,258,No,Good,Low,Buford
1481,Unpopulated,50,430,7878,Yes,Good,Low,Buford
1482,Populated ,54,355,6290,No,Good,Low,Buford
1483,Unpopulated,36,44,291,yes,Bad,Low,Buford
1484,Populated ,37,484,6271,No,Good,Low,Buford
1485,Unpopulated,65,286,8617,No,Bad,Low,Buford
1486,Populated,65,519,8192,No,Good,Low,Philadelphia
1487,Unpopulated,35,664,38,No,Bad,Low,Buford
1488,Populated,67,488,10,No,Bad,Low,Philadelphia
1489,Populated ,57,639,4535,No,Good ,Low,Buford
1490,Unpopulated,56,521,1780,No,Bad,Low,Buford
1491,Populated ,30,532,1284,No,Good,Low,Buford
1492,Populated ,56,678,5472,No,Good,Low,Buford
1493,Unpopulated,80,680,8662,No,Good,High,Buford
1494,Populated ,75,115,3812,Yes,Good,High,Buford
1495,Unpopulated,76,265,3652,No,Bad,High,Buford
1496,Populated ,53,153,4951,yes,Good,Low,Buford
1497,Unpopulated,69,364,6825,No,Bad,High,Buford
